X	Y
10	20
19	21
4	5
14	0
21	21
18	18
17	5
19	18
20	16
11	21
10	3
4	2
18	3
16	6
5	11
6	11
7	15
8	20
14	17
16	19
10	21
18	20
21	17
7	9
20	8
18	11
5	18
5	9
11	20
2	6
7	13
18	13
22	1
16	21
15	15
9	20
5	8
12	2
15	17
5	17
18	19
13	13
9	4
21	9
2	9
22	12
11	12
13	10
7	15
0	2
23	0
5	19
15	0
3	0
13	17
10	3
21	5
1	8
4	7
19	22
18	17
18	4
18	15
2	2
16	19
7	0
8	23
18	10
15	22
17	22
23	12
0	20
1	22
21	11
10	16
0	0
1	19
2	15
3	1
6	1
21	22
7	14
1	18
3	15
5	22
6	17
15	5
10	6
23	6
16	4
1	11
1	19
0	5
9	9
10	12
6	13
11	2
4	16
10	18
13	20
15	2
8	7
7	7
16	3
17	2
5	15
16	13
10	8
1	14
6	18
16	6
4	4
10	22
22	6
3	19
7	11
10	20
13	1
21	9
21	8
12	20
9	16
1	7
3	19
12	5
15	13
22	2
8	6
3	19
10	10
21	2
3	15
0	5
23	17
10	14
21	14
16	20
8	13
22	3
5	20
22	21
14	18
1	12
16	5
10	2
13	4
6	18
8	10
4	1
16	15
22	18
13	17
22	17
13	5
0	14
3	11
6	18
22	4
13	17
6	11
2	19
12	22
3	10
20	21
6	20
0	17
19	13
13	17
0	4
12	14
9	16
22	12
13	22
8	11
9	22
1	4
9	15
17	19
16	5
18	19
7	17
11	8
2	21
9	17
3	22
8	5
19	10
21	8
12	14
21	0
5	0
9	17
0	17
9	12
13	13
21	10
8	8
12	22
7	18
15	12
12	2
2	4
0	12
5	19
2	11
12	20
12	6
1	0
5	8
1	7
8	4
20	10
9	15
0	6
13	2
13	22
2	11
15	5
1	9
4	7
4	3
20	1
10	12
0	6
4	10
14	5
3	2
5	8
1	9
9	13
12	23
12	22
10	12
16	3
5	11
10	6
20	22
8	17
9	13
8	21
17	9
5	17
12	3
20	20
2	2
16	5
4	5
11	11
7	3
3	8
6	21
14	18
13	3
14	3
14	14
4	1
3	4
3	7
17	10
18	22
14	5
6	12
10	21
18	2
19	1
8	23
8	22
22	13
17	22
1	10
19	4
7	12
7	21
21	11
4	13
21	15
18	13
6	19
0	12
21	6
11	6
8	15
20	8
15	2
15	11
14	22
15	3
15	5
4	4
16	6
21	12
8	9
2	0
17	19
20	0
6	14
1	17
9	5
3	10
0	22
12	4
21	15
18	6
5	9
7	2
22	10
16	1
23	17
1	10
18	0
14	9
22	10
22	12
15	3
9	16
21	16
19	2
18	14
13	9
3	11
19	9
11	10
5	13
19	18
3	21
3	16
3	7
6	18
11	21
10	12
7	13
19	10
19	2
11	7
1	18
3	1
13	18
8	7
7	17
5	14
4	1
17	0
18	4
23	9
3	19
8	4
4	7
18	10
9	12
19	13
20	17
3	1
11	10
10	22
21	21
21	8
9	17
18	2
10	3
8	2
21	19
16	3
2	14
15	2
4	19
6	2
17	4
1	8
3	4
3	18
15	6
14	17
16	3
22	21
0	19
19	7
6	19
13	23
17	16
19	21
22	20
2	5
2	8
0	7
19	5
3	6
7	17
11	22
22	18
20	20
9	20
12	3
1	14
15	2
19	11
19	6
22	22
3	16
19	6
18	21
12	20
15	2
4	14
7	15
22	21
18	20
2	21
16	5
18	0
12	11
11	8
13	16
2	12
14	0
12	4
4	19
9	19
20	7
13	22
10	6
2	10
14	20
17	19
7	5
4	22
7	10
7	12
13	2
15	2
2	21
16	17
4	3
11	8
11	23
22	17
10	10
17	13
2	6
11	3
7	11
21	5
7	23
3	12
14	14
21	23
3	19
12	14
20	17
7	4
15	18
22	17
16	23
14	6
5	15
16	20
14	13
14	20
3	17
12	1
9	11
11	22
11	3
14	8
0	15
8	23
7	4
21	8
7	19
12	8
2	1
23	8
18	20
4	14
1	5
6	21
17	2
8	11
5	3
4	7
9	23
8	23
8	12
10	16
8	5
9	11
20	6
11	10
17	11
4	14
6	1
1	9
19	14
21	20
19	14
7	7
1	14
19	17
8	15
12	22
6	13
7	1
17	4
6	3
19	1
20	9
23	16
19	14
19	8
2	23
6	10
16	21
2	16
0	9
12	15
9	5
15	18
2	1
19	21
2	3
18	15
21	5
6	8
15	11
13	1
6	18
22	13
11	9
4	20
3	21
21	18
8	6
22	17
22	23
10	15
8	18
14	17
18	11
8	1
17	16
20	17
17	19
9	7
4	20
6	7
15	18
15	22
22	15
0	6
11	3
10	2
10	11
3	14
7	12
6	23
18	19
13	5
2	22
4	15
8	11
6	8
21	21
18	19
11	5
3	22
18	18
5	22
2	21
0	0
10	12
12	5
9	3
5	21
10	11
15	0
21	4
9	1
3	14
1	2
14	17
1	16
0	3
6	18
5	21
22	19
5	19
4	14
2	3
21	12
21	13
2	4
4	10
8	7
12	3
2	1
3	17
17	18
2	22
18	4
20	7
8	12
23	10
1	18
3	15
8	9
14	13
23	12
22	7
1	1
12	4
21	1
15	17
15	8
12	6
20	21
8	7
21	2
1	17
9	16
1	3
0	16
13	21
17	8
19	20
11	14
16	17
9	0
5	11
2	18
17	0
11	14
22	17
17	22
7	9
14	5
20	4
22	10
4	6
6	19
19	18
21	14
8	8
8	3
20	20
22	11
12	12
1	12
9	22
10	15
11	18
3	20
8	8
11	1
17	16
11	14
6	0
0	21
23	6
15	22
17	12
16	1
15	20
7	15
2	16
19	2
0	9
1	4
12	2
4	16
7	9
6	7
19	1
20	16
8	8
13	13
23	7
10	8
20	9
21	1
4	6
12	16
22	11
6	21
13	0
7	18
17	5
8	19
0	7
9	3
8	14
9	0
11	8
10	6
5	21
1	8
2	4
